text,label
Nobody would miss me if I was gone,1
I'm worried about my mental health.,1
I feel sad more often than not.,1
I'm excited about my new project.,0
I feel overwhelmed by everything,1
Life has its ups and downs but I'm doing okay,0
Life has its ups and downs but I'm doing okay recently,0
I'm feeling good today and looking forward to the weekend recently,0
I feel disconnected from people around me often,1
I'm feeling good today and looking forward to the weekend lately,0
"Spent time with friends and family, feeling grateful",0
"Today was a great day, I'm feeling happy lately",0
I wish I could just disappear.,1
I feel motivated and energized,0
"I've been feeling down lately, things are tough often",1
Life has its ups and downs but I'm doing okay.,0
I feel exhausted and empty inside.,1
I feel content and at peace recently,0
I feel hopeless and don't see a way out.,1
I feel content and at peace recently,0
"Had a productive day at work, feeling satisfied recently",0
I'm excited about my new project lately,0
I'm feeling good today and looking forward to the weekend,0
I feel motivated and energized recently,0
I'm stressed and anxious most of the time every day,1
I feel exhausted and empty inside every day,1
I'm having trouble sleeping and concentrating every day,1
"I've been feeling down lately, things are tough every day",1
I'm feeling good today and looking forward to the weekend lately,0
I feel completely alone and worthless.,1
I'm stressed and anxious most of the time,1
"I've been feeling down lately, things are tough",1
"I can't take this anymore, everything feels pointless anymore",1
"I've been feeling down lately, things are tough every day",1
I'm worried about my mental health every day,1
I feel hopeless and don't see a way out constantly,1
I'm struggling to find motivation.,1
I wish I could just disappear.,1
I'm feeling good today and looking forward to the weekend lately,0
I'm having thoughts of ending it all constantly,1
I feel trapped with no escape constantly,1
I'm having thoughts of ending it all,1
I feel sad more often than not.,1
I wish I could just disappear constantly,1
I'm managing my stress well with exercise lately,0
I'm having thoughts of ending it all anymore,1
I'm struggling to find motivation,1
I feel hopeless and don't see a way out,1
I'm feeling good today and looking forward to the weekend recently,0
The pain is too much to bear anymore,1
"Had a productive day at work, feeling satisfied recently",0
I'm feeling good today and looking forward to the weekend,0
I feel hopeless and don't see a way out constantly,1
"Things are going well, I'm optimistic about the future lately",0
Things don't bring me joy like they used to,1
Nobody would miss me if I was gone,1
I feel content and at peace.,0
I feel hopeless and don't see a way out.,1
I'm excited about my new project lately,0
I'm stressed and anxious most of the time every day,1
I'm stressed and anxious most of the time often,1
I feel sad more often than not often,1
The pain is too much to bear constantly,1
I wish I could just disappear.,1
I'm excited about my new project lately,0
I'm feeling good today and looking forward to the weekend.,0
I feel disconnected from people around me.,1
I'm worried about my mental health often,1
I wish I could just disappear.,1
I feel exhausted and empty inside,1
I'm having trouble sleeping and concentrating often,1
I feel trapped with no escape,1
I'm stressed and anxious most of the time.,1
I feel disconnected from people around me.,1
Things don't bring me joy like they used to.,1
I'm struggling to find motivation every day,1
"Today was a great day, I'm feeling happy recently",0
I feel overwhelmed by everything often,1
I feel completely alone and worthless.,1
Life has its ups and downs but I'm doing okay recently,0
I feel trapped with no escape constantly,1
"Had a productive day at work, feeling satisfied",0
I feel completely alone and worthless anymore,1
I'm stressed and anxious most of the time every day,1
I'm having thoughts of ending it all anymore,1
I don't want to wake up tomorrow anymore,1
I feel overwhelmed by everything.,1
I feel exhausted and empty inside.,1
I feel hopeless and don't see a way out constantly,1
I'm excited about my new project recently,0
"Things are going well, I'm optimistic about the future lately",0
I feel content and at peace recently,0
"Today was a great day, I'm feeling happy.",0
I feel disconnected from people around me.,1
I wish I could just disappear anymore,1
Life has its ups and downs but I'm doing okay.,0
"Spent time with friends and family, feeling grateful recently",0
I'm stressed and anxious most of the time,1
"I've been feeling down lately, things are tough often",1
I feel exhausted and empty inside every day,1
I'm worried about my mental health.,1
I feel overwhelmed by everything often,1
"Had a productive day at work, feeling satisfied",0
I'm having thoughts of ending it all.,1
Things don't bring me joy like they used to,1
I'm struggling to find motivation often,1
I'm managing my stress well with exercise recently,0
"Today was a great day, I'm feeling happy recently",0
I feel motivated and energized lately,0
I'm stressed and anxious most of the time often,1
I feel disconnected from people around me often,1
I feel completely alone and worthless.,1
Life has no meaning anymore,1
I'm managing my stress well with exercise,0
I'm managing my stress well with exercise recently,0
Things don't bring me joy like they used to often,1
I feel content and at peace lately,0
I'm excited about my new project,0
Things don't bring me joy like they used to every day,1
I wish I could just disappear constantly,1
I feel disconnected from people around me.,1
Life has its ups and downs but I'm doing okay,0
I'm struggling to find motivation.,1
I feel content and at peace recently,0
I feel hopeless and don't see a way out.,1
I'm struggling to find motivation every day,1
I'm managing my stress well with exercise.,0
I feel hopeless and don't see a way out,1
I'm excited about my new project lately,0
"Today was a great day, I'm feeling happy recently",0
I feel trapped with no escape,1
I wish I could just disappear,1
I'm having trouble sleeping and concentrating,1
I feel hopeless and don't see a way out,1
"Today was a great day, I'm feeling happy.",0
I wish I could just disappear,1
Life has its ups and downs but I'm doing okay.,0
I don't want to wake up tomorrow,1
I feel sad more often than not every day,1
I don't want to wake up tomorrow,1
I feel content and at peace.,0
I'm worried about my mental health every day,1
"I can't take this anymore, everything feels pointless constantly",1
"Things are going well, I'm optimistic about the future",0
"Today was a great day, I'm feeling happy recently",0
"Spent time with friends and family, feeling grateful",0
I'm struggling to find motivation every day,1
I feel hopeless and don't see a way out anymore,1
I don't want to wake up tomorrow anymore,1
I'm having trouble sleeping and concentrating every day,1
The pain is too much to bear.,1
I feel overwhelmed by everything often,1
"I can't take this anymore, everything feels pointless.",1
I feel completely alone and worthless constantly,1
"Things are going well, I'm optimistic about the future",0
"I've been feeling down lately, things are tough often",1
I feel disconnected from people around me,1
I'm having trouble sleeping and concentrating.,1
"I've been feeling down lately, things are tough",1
"Had a productive day at work, feeling satisfied lately",0
I'm having trouble sleeping and concentrating.,1
I wish I could just disappear.,1
I feel completely alone and worthless constantly,1
I feel overwhelmed by everything every day,1
I'm having thoughts of ending it all,1
"I can't take this anymore, everything feels pointless constantly",1
I feel content and at peace lately,0
I wish I could just disappear anymore,1
Nobody would miss me if I was gone anymore,1
I don't want to wake up tomorrow,1
I'm feeling good today and looking forward to the weekend lately,0
I'm worried about my mental health often,1
"I can't take this anymore, everything feels pointless anymore",1
I feel content and at peace lately,0
I'm managing my stress well with exercise,0
"Today was a great day, I'm feeling happy lately",0
Things don't bring me joy like they used to every day,1
Things don't bring me joy like they used to every day,1
I don't want to wake up tomorrow constantly,1
I'm excited about my new project,0
"I've been feeling down lately, things are tough every day",1
I'm managing my stress well with exercise.,0
I'm having trouble sleeping and concentrating.,1
I wish I could just disappear constantly,1
I'm having thoughts of ending it all.,1
"Spent time with friends and family, feeling grateful recently",0
I feel motivated and energized.,0
I'm excited about my new project recently,0
Things don't bring me joy like they used to,1
"Had a productive day at work, feeling satisfied",0
"Things are going well, I'm optimistic about the future",0
I feel completely alone and worthless anymore,1
I don't want to wake up tomorrow constantly,1
I'm excited about my new project,0
The pain is too much to bear constantly,1
I'm worried about my mental health every day,1
Things don't bring me joy like they used to.,1
I feel content and at peace recently,0
I'm managing my stress well with exercise,0
I'm feeling good today and looking forward to the weekend lately,0
The pain is too much to bear.,1
I feel motivated and energized,0
Life has its ups and downs but I'm doing okay recently,0
I feel motivated and energized.,0
I wish I could just disappear.,1
Life has no meaning anymore anymore,1
I'm worried about my mental health often,1
"Things are going well, I'm optimistic about the future recently",0
I'm having trouble sleeping and concentrating often,1
I'm struggling to find motivation often,1
I feel completely alone and worthless,1
I'm stressed and anxious most of the time.,1
I'm stressed and anxious most of the time.,1
I feel motivated and energized lately,0
I feel completely alone and worthless,1
I feel motivated and energized.,0
"Had a productive day at work, feeling satisfied recently",0
I'm struggling to find motivation every day,1
I feel completely alone and worthless constantly,1
I feel motivated and energized recently,0
I feel motivated and energized recently,0
I feel disconnected from people around me,1
The pain is too much to bear anymore,1
Things don't bring me joy like they used to,1
"Things are going well, I'm optimistic about the future.",0
"Had a productive day at work, feeling satisfied",0
I feel content and at peace recently,0
"Things are going well, I'm optimistic about the future recently",0
I feel exhausted and empty inside often,1
I feel disconnected from people around me often,1
I feel exhausted and empty inside every day,1
Life has its ups and downs but I'm doing okay lately,0
I feel disconnected from people around me.,1
Nobody would miss me if I was gone.,1
"Had a productive day at work, feeling satisfied.",0
I feel disconnected from people around me often,1
I'm managing my stress well with exercise recently,0
I'm stressed and anxious most of the time every day,1
"Today was a great day, I'm feeling happy recently",0
I wish I could just disappear.,1
I'm managing my stress well with exercise.,0
"Today was a great day, I'm feeling happy recently",0
Life has its ups and downs but I'm doing okay.,0
"Things are going well, I'm optimistic about the future lately",0
I feel completely alone and worthless,1
I feel overwhelmed by everything often,1
Life has no meaning anymore anymore,1
"I can't take this anymore, everything feels pointless constantly",1
I feel completely alone and worthless,1
Life has no meaning anymore.,1
I'm struggling to find motivation.,1
I feel content and at peace recently,0
I don't want to wake up tomorrow constantly,1
I wish I could just disappear anymore,1
I feel disconnected from people around me,1
I'm stressed and anxious most of the time often,1
I'm struggling to find motivation every day,1
I'm managing my stress well with exercise lately,0
"Today was a great day, I'm feeling happy.",0
I'm struggling to find motivation,1
I'm having thoughts of ending it all.,1
I'm managing my stress well with exercise recently,0
The pain is too much to bear constantly,1
I'm having thoughts of ending it all constantly,1
I feel overwhelmed by everything.,1
"Things are going well, I'm optimistic about the future.",0
I feel content and at peace lately,0
Nobody would miss me if I was gone constantly,1
I'm having thoughts of ending it all constantly,1
I don't want to wake up tomorrow,1
"Things are going well, I'm optimistic about the future lately",0
"I can't take this anymore, everything feels pointless",1
I feel sad more often than not.,1
The pain is too much to bear.,1
Nobody would miss me if I was gone.,1
"Spent time with friends and family, feeling grateful",0
I'm managing my stress well with exercise.,0
Things don't bring me joy like they used to,1
I'm stressed and anxious most of the time every day,1
"Things are going well, I'm optimistic about the future recently",0
"Spent time with friends and family, feeling grateful lately",0
Things don't bring me joy like they used to,1
I feel exhausted and empty inside often,1
Life has its ups and downs but I'm doing okay,0
I feel motivated and energized.,0
Life has no meaning anymore,1
I'm struggling to find motivation often,1
I'm having trouble sleeping and concentrating.,1
"Had a productive day at work, feeling satisfied recently",0
I feel completely alone and worthless,1
"I can't take this anymore, everything feels pointless anymore",1
I'm having thoughts of ending it all,1
Things don't bring me joy like they used to.,1
I feel overwhelmed by everything.,1
"Things are going well, I'm optimistic about the future",0
I feel sad more often than not.,1
I wish I could just disappear constantly,1
I feel motivated and energized.,0
"I can't take this anymore, everything feels pointless anymore",1
Nobody would miss me if I was gone constantly,1
I feel completely alone and worthless anymore,1
I feel hopeless and don't see a way out anymore,1
I'm excited about my new project recently,0
I wish I could just disappear.,1
"Today was a great day, I'm feeling happy lately",0
I feel overwhelmed by everything every day,1
Things don't bring me joy like they used to often,1
I'm having trouble sleeping and concentrating every day,1
Nobody would miss me if I was gone anymore,1
"I've been feeling down lately, things are tough.",1
I'm feeling good today and looking forward to the weekend recently,0
I feel completely alone and worthless anymore,1
The pain is too much to bear constantly,1
"I've been feeling down lately, things are tough",1
I'm having thoughts of ending it all constantly,1
The pain is too much to bear anymore,1
Life has no meaning anymore,1
"I can't take this anymore, everything feels pointless anymore",1
I feel completely alone and worthless constantly,1
I feel hopeless and don't see a way out.,1
Life has its ups and downs but I'm doing okay recently,0
"Today was a great day, I'm feeling happy.",0
I feel hopeless and don't see a way out anymore,1
"Had a productive day at work, feeling satisfied",0
I'm feeling good today and looking forward to the weekend,0
Life has its ups and downs but I'm doing okay.,0
"Things are going well, I'm optimistic about the future recently",0
"I've been feeling down lately, things are tough",1
"Spent time with friends and family, feeling grateful recently",0
Nobody would miss me if I was gone anymore,1
I'm struggling to find motivation every day,1
I don't want to wake up tomorrow,1
"Today was a great day, I'm feeling happy recently",0
The pain is too much to bear,1
I'm worried about my mental health often,1
I'm managing my stress well with exercise recently,0
Nobody would miss me if I was gone anymore,1
I feel content and at peace lately,0
I feel hopeless and don't see a way out constantly,1
I'm feeling good today and looking forward to the weekend.,0
I'm worried about my mental health.,1
"Today was a great day, I'm feeling happy",0
I feel completely alone and worthless.,1
I feel exhausted and empty inside.,1
I wish I could just disappear anymore,1
"I can't take this anymore, everything feels pointless.",1
I'm managing my stress well with exercise,0
I feel trapped with no escape,1
I feel content and at peace.,0
I feel hopeless and don't see a way out anymore,1
I feel exhausted and empty inside often,1
Life has its ups and downs but I'm doing okay,0
Things don't bring me joy like they used to often,1
I'm feeling good today and looking forward to the weekend.,0
"Had a productive day at work, feeling satisfied lately",0
"I can't take this anymore, everything feels pointless anymore",1
I'm having thoughts of ending it all,1
"Things are going well, I'm optimistic about the future.",0
I'm managing my stress well with exercise,0
Life has its ups and downs but I'm doing okay.,0
"Spent time with friends and family, feeling grateful.",0
I feel overwhelmed by everything,1
I feel completely alone and worthless,1
"I've been feeling down lately, things are tough.",1
I'm struggling to find motivation every day,1
Things don't bring me joy like they used to,1
I feel trapped with no escape.,1
I feel content and at peace lately,0
I'm feeling good today and looking forward to the weekend,0
Life has its ups and downs but I'm doing okay,0
I feel exhausted and empty inside often,1
I'm excited about my new project,0
Nobody would miss me if I was gone,1
I'm having thoughts of ending it all,1
"Had a productive day at work, feeling satisfied recently",0
I feel completely alone and worthless,1
I'm worried about my mental health,1
I'm managing my stress well with exercise recently,0
I feel disconnected from people around me,1
I feel motivated and energized recently,0
Life has its ups and downs but I'm doing okay recently,0
I'm struggling to find motivation often,1
I feel disconnected from people around me.,1
I'm managing my stress well with exercise.,0
"Today was a great day, I'm feeling happy lately",0
I feel trapped with no escape.,1
I feel disconnected from people around me.,1
I feel disconnected from people around me,1
I feel content and at peace.,0
I feel hopeless and don't see a way out,1
I wish I could just disappear,1
"Things are going well, I'm optimistic about the future lately",0
I'm stressed and anxious most of the time,1
"I've been feeling down lately, things are tough often",1
Life has its ups and downs but I'm doing okay lately,0
Life has its ups and downs but I'm doing okay lately,0
I'm having thoughts of ending it all constantly,1
"Today was a great day, I'm feeling happy lately",0
"Spent time with friends and family, feeling grateful",0
"Had a productive day at work, feeling satisfied recently",0
I feel exhausted and empty inside often,1
I feel trapped with no escape.,1
I feel sad more often than not.,1
I'm feeling good today and looking forward to the weekend,0
I feel completely alone and worthless,1
I'm managing my stress well with exercise,0
I feel motivated and energized lately,0
Life has its ups and downs but I'm doing okay lately,0
I'm excited about my new project,0
I feel content and at peace,0
"Spent time with friends and family, feeling grateful recently",0
"Today was a great day, I'm feeling happy",0
I'm having trouble sleeping and concentrating often,1
I feel sad more often than not,1
Life has no meaning anymore anymore,1
I feel disconnected from people around me every day,1
"Things are going well, I'm optimistic about the future",0
I feel motivated and energized recently,0
"Things are going well, I'm optimistic about the future.",0
Life has no meaning anymore constantly,1
I feel completely alone and worthless,1
I feel content and at peace.,0
I feel motivated and energized,0
I don't want to wake up tomorrow,1
I'm stressed and anxious most of the time every day,1
"Things are going well, I'm optimistic about the future",0
"Had a productive day at work, feeling satisfied lately",0
I feel motivated and energized,0
I feel overwhelmed by everything every day,1
I'm worried about my mental health.,1
I'm feeling good today and looking forward to the weekend recently,0
I'm having thoughts of ending it all,1
"Today was a great day, I'm feeling happy.",0
Nobody would miss me if I was gone.,1
I feel completely alone and worthless anymore,1
Life has its ups and downs but I'm doing okay lately,0
Life has its ups and downs but I'm doing okay lately,0
I'm struggling to find motivation every day,1
"Today was a great day, I'm feeling happy.",0
I feel hopeless and don't see a way out constantly,1
I feel completely alone and worthless constantly,1
Life has its ups and downs but I'm doing okay.,0
I feel motivated and energized.,0
I'm struggling to find motivation every day,1
"I've been feeling down lately, things are tough every day",1
I'm worried about my mental health often,1
I'm having trouble sleeping and concentrating often,1
I'm worried about my mental health often,1
"Today was a great day, I'm feeling happy recently",0
Nobody would miss me if I was gone,1
"I've been feeling down lately, things are tough often",1
"Things are going well, I'm optimistic about the future",0
I feel exhausted and empty inside every day,1
I feel motivated and energized lately,0
I feel overwhelmed by everything,1
I feel motivated and energized,0
"I've been feeling down lately, things are tough.",1
I feel completely alone and worthless constantly,1
I'm having thoughts of ending it all constantly,1
"I can't take this anymore, everything feels pointless anymore",1
"Had a productive day at work, feeling satisfied recently",0
I'm struggling to find motivation.,1
The pain is too much to bear.,1
I'm excited about my new project recently,0
I'm having thoughts of ending it all,1
I feel exhausted and empty inside often,1
I'm managing my stress well with exercise,0
I feel disconnected from people around me.,1
I'm feeling good today and looking forward to the weekend.,0
I feel trapped with no escape.,1
"I've been feeling down lately, things are tough",1
I'm managing my stress well with exercise,0
"Today was a great day, I'm feeling happy",0
"Had a productive day at work, feeling satisfied lately",0
I feel overwhelmed by everything every day,1
I don't want to wake up tomorrow constantly,1
I don't want to wake up tomorrow.,1
Life has its ups and downs but I'm doing okay,0
I'm worried about my mental health often,1
"I can't take this anymore, everything feels pointless.",1
"Spent time with friends and family, feeling grateful",0
I feel hopeless and don't see a way out constantly,1
"Spent time with friends and family, feeling grateful",0
The pain is too much to bear constantly,1
"Had a productive day at work, feeling satisfied lately",0
I wish I could just disappear anymore,1
"Things are going well, I'm optimistic about the future recently",0
I'm managing my stress well with exercise,0
"Today was a great day, I'm feeling happy.",0
Nobody would miss me if I was gone anymore,1
I feel trapped with no escape constantly,1
I'm having trouble sleeping and concentrating,1
I'm having trouble sleeping and concentrating every day,1
I feel completely alone and worthless anymore,1
I'm having trouble sleeping and concentrating,1
I feel disconnected from people around me every day,1
The pain is too much to bear,1
"Had a productive day at work, feeling satisfied.",0
I feel trapped with no escape constantly,1
I feel trapped with no escape.,1
I feel content and at peace lately,0
I'm feeling good today and looking forward to the weekend,0
"Had a productive day at work, feeling satisfied lately",0
I'm managing my stress well with exercise recently,0
Life has no meaning anymore.,1
I'm feeling good today and looking forward to the weekend,0
"Today was a great day, I'm feeling happy.",0
I'm worried about my mental health often,1
The pain is too much to bear,1
I feel disconnected from people around me every day,1
I feel hopeless and don't see a way out constantly,1
I wish I could just disappear,1
The pain is too much to bear anymore,1
I feel sad more often than not,1
"Today was a great day, I'm feeling happy.",0
I feel exhausted and empty inside.,1
I feel exhausted and empty inside every day,1
I feel completely alone and worthless constantly,1
I feel motivated and energized lately,0
I feel motivated and energized lately,0
Things don't bring me joy like they used to.,1
I feel content and at peace,0
I feel content and at peace,0
Nobody would miss me if I was gone anymore,1
I feel motivated and energized,0
I'm feeling good today and looking forward to the weekend,0
"Things are going well, I'm optimistic about the future.",0
I'm having trouble sleeping and concentrating every day,1
"I can't take this anymore, everything feels pointless",1
I feel trapped with no escape,1
"Today was a great day, I'm feeling happy",0
I'm excited about my new project lately,0
I'm managing my stress well with exercise lately,0
I wish I could just disappear constantly,1
I feel overwhelmed by everything every day,1
I feel content and at peace recently,0
"Spent time with friends and family, feeling grateful recently",0
I'm stressed and anxious most of the time,1
"Things are going well, I'm optimistic about the future recently",0
I'm managing my stress well with exercise recently,0
Life has no meaning anymore,1
I'm managing my stress well with exercise lately,0
"Things are going well, I'm optimistic about the future",0
The pain is too much to bear constantly,1
"Today was a great day, I'm feeling happy",0
I'm having thoughts of ending it all.,1
I'm worried about my mental health often,1
Life has no meaning anymore anymore,1
"Had a productive day at work, feeling satisfied lately",0
I feel motivated and energized.,0
Life has no meaning anymore,1
I'm excited about my new project.,0
Life has no meaning anymore anymore,1
I feel disconnected from people around me often,1
I feel overwhelmed by everything.,1
I feel hopeless and don't see a way out,1
I'm managing my stress well with exercise,0
I'm stressed and anxious most of the time,1
I feel completely alone and worthless.,1
I'm feeling good today and looking forward to the weekend.,0
I'm having thoughts of ending it all,1
Life has its ups and downs but I'm doing okay recently,0
I feel trapped with no escape anymore,1
I feel disconnected from people around me often,1
I'm excited about my new project,0
I feel hopeless and don't see a way out constantly,1
I'm stressed and anxious most of the time every day,1
I feel motivated and energized lately,0
I don't want to wake up tomorrow,1
Life has no meaning anymore.,1
I don't want to wake up tomorrow,1
I'm struggling to find motivation often,1
I feel content and at peace recently,0
"Things are going well, I'm optimistic about the future.",0
"I've been feeling down lately, things are tough.",1
"Had a productive day at work, feeling satisfied.",0
I'm worried about my mental health every day,1
I feel motivated and energized lately,0
I feel exhausted and empty inside every day,1
I feel hopeless and don't see a way out anymore,1
I feel completely alone and worthless.,1
Life has its ups and downs but I'm doing okay lately,0
I don't want to wake up tomorrow,1
I feel content and at peace recently,0
"Today was a great day, I'm feeling happy lately",0
Life has its ups and downs but I'm doing okay lately,0
I'm worried about my mental health,1
I feel overwhelmed by everything.,1
I feel trapped with no escape anymore,1
I feel hopeless and don't see a way out.,1
I'm worried about my mental health,1
I'm excited about my new project lately,0
I feel disconnected from people around me,1
I'm having thoughts of ending it all.,1
"I can't take this anymore, everything feels pointless constantly",1
Life has no meaning anymore anymore,1
"Today was a great day, I'm feeling happy.",0
I feel sad more often than not,1
I feel overwhelmed by everything often,1
I'm stressed and anxious most of the time.,1
"I can't take this anymore, everything feels pointless.",1
"Spent time with friends and family, feeling grateful recently",0
I feel disconnected from people around me,1
"I've been feeling down lately, things are tough",1
I feel sad more often than not.,1
I feel sad more often than not,1
I'm worried about my mental health every day,1
I feel content and at peace lately,0
Life has no meaning anymore.,1
I'm feeling good today and looking forward to the weekend,0
I feel hopeless and don't see a way out anymore,1
Nobody would miss me if I was gone,1
I'm managing my stress well with exercise,0
I'm excited about my new project.,0
"Things are going well, I'm optimistic about the future",0
"Today was a great day, I'm feeling happy recently",0
I'm feeling good today and looking forward to the weekend,0
I'm struggling to find motivation every day,1
Things don't bring me joy like they used to.,1
I'm stressed and anxious most of the time.,1
"I can't take this anymore, everything feels pointless.",1
I feel sad more often than not every day,1
I'm managing my stress well with exercise recently,0
Things don't bring me joy like they used to.,1
